Atractaspis bibronii	Southern or Bibron's Burrowing Asp, Mole Viper	SMITH	1849	Yes	No
Atractaspis boulengeri	Mole Viper	MOCQUARD	1897	Yes	No
Atractaspis congica	Congo Stiletto Snake	PETERS	1877	Yes	No
Atractaspis corpulenta	Mole Viper	HALLOWELL	1854	Yes	No
Atractaspis dahomeyensis	Mole Viper	BOCAGE	1887	Yes	No
Atractaspis duerdeni	Duerden's Or Beaked Burrowing Asp	GOUGH	1907	Yes	No
Atractaspis engaddensis	Israeli Mole Viper	HAAS	1950	Yes	No
Atractaspis engdahli	Mole Viper	LNNBERG & ANDERSSON	1913	Yes	No
Atractaspis fallax	Peters Burrowing Asp, Mole Viper	PETERS	1867	Yes	No
Atractaspis irregularis	Variable Burrowing Asp, Mole Viper	REINHARDT	1843	Yes	No
Atractaspis leucomelas	Ogaden Burrowing Asp, Mole Viper	BOULENGER	1895	Yes	No
Atractaspis magrettii	Magrettis Burrowing Asp	SCORTECCI	1928	Yes	No
Atractaspis microlepidota	Small-Scaled Burrowing Asp	GNTHER	1866	Yes	No
Atractaspis micropholis	Sahelian Burrowing Asp	GNTHER	1872	Yes	No
Atractaspis phillipsi	Phillips Burrowing Asp	BARBOUR	1913	Yes	No
Atractaspis reticulata	Mole Viper	SJSTEDT	1896	Yes	No
Atractaspis scorteccii	Somali Burrowing Asp, Mole Viper	PARKER	1949	Yes	No
Atractaspis watsoni	Watsons Burrowing Asp	BOULENGER	1908	Yes	No
Atractus acheronius		PASSOS, RIVAS & BARRIO-AMORS	2009	No	No
Atractus albuquerquei	Albuquerque Ground Snake	DA CUNHA & DO NASCIMENTO	1983	No	No
Atractus alphonsehogei	Alphonse's Ground Snake	DA CUNHA & DO NASCIMENTO	1983	No	No
Atractus altagratiae		PASSOS & FERNANDES	2008	No	No
Atractus alytogrammus		KHLER & KIECKBUSCH	2014	No	No
Atractus andinus	Andean Ground Snake	PRADO	1944	No	No
Atractus apophis		PASSOS & LYNCH	2010	No	No
Atractus arangoi		PRADO	1939	No	No
Atractus atratus		PASSOS & LYNCH	2010	No	No
Atractus attenuates		MYERS & SCHARGEL	2006	No	No
Atractus avernus		PASSOS, CHIESSE, TORRES-CARVAJAL & SAVAGE	2009	No	No
Atractus ayeush		ESQUEDA	2011	No	No
Atractus badius	Boie's Ground Snake, French Guyana Ground Snake	BOIE	1827	No	No
Atractus balzani	Bolivian Ground Snake	BOULENGER	1898	No	No
Atractus biseriatus	Two-lined Ground Snake	PRADO	1941	No	No
Atractus bocki	Bock's Ground Snake	WERNER	1909	No	No
Atractus bocourti	Bocourt's Ground Snake	BOULENGER	1894	No	No
Atractus boettgeri	Boettger's Ground Snake	BOULENGER	1896	No	No
Atractus boulengerii		PERACCA	1896	No	No
Atractus caete		PASSOS, FERNANDES, BRNILS & MOURA-LEITE	2010	No	No
Atractus careolepis		KHLER & KIECKBUSCH	2014	No	No
Atractus carrioni	Parker's Ground Snake	PARKER	1930	No	No
Atractus caxiuana		DA COSTA PRUDENTE & SANTOS-COSTA	2006	No	No
Atractus charitoae		SILVA HAAD	2004	No	No
Atractus chthonius		PASSOS & LYNCH	2010	No	No
